"","Provider.State","County","WeeksofShortage_of_EP_by_County","WeeksofShortage_of_GL_by_County","WeeksofShortage_of_HS_by_County","WeeksofShortage_of_N95_by_County","WeeksofShortage_of_SM_by_County","WeeksofShortage_of_VT_by_County"
"516","IN","Whitley",71,10,8,67,65,NA
"517","KS","Allen",2,3,NA,25,34,NA
"518","KS","Anderson",1,1,1,1,1,NA
"519","KS","Atchison",8,7,2,9,9,NA
"520","KS","Barton",33,34,33,40,38,NA
"521","KS","Bourbon",1,NA,NA,9,7,NA
"522","KS","Brown",11,NA,NA,1,NA,NA
"523","KS","Butler",18,1,2,17,25,NA
"524","KS","Chase",12,7,7,11,9,NA
"525","KS","Chautauqua",1,NA,NA,3,4,NA
"526","KS","Cherokee",1,1,1,21,21,NA
"527","KS","Cheyenne",17,8,16,17,10,NA
"528","KS","Clay",8,4,4,18,16,NA
"529","KS","Cloud",20,3,3,15,7,NA
"530","KS","Coffey",27,4,NA,38,6,NA
"531","KS","Comanche",2,1,2,8,NA,NA
"532","KS","Cowley",14,1,2,27,19,NA
"533","KS","Crawford",29,20,28,66,61,NA
"534","KS","Dickinson",23,11,8,31,15,NA
"535","KS","Doniphan",3,NA,1,9,NA,NA
"536","KS","Douglas",2,3,8,28,14,NA
"537","KS","Ellis",1,1,1,1,1,NA
"538","KS","Ellsworth",2,8,1,22,8,NA
"539","KS","Finney",1,1,1,1,1,NA
"540","KS","Franklin",5,NA,NA,8,NA,NA
"541","KS","Geary",1,1,1,1,NA,NA
"542","KS","Grant",1,1,1,16,NA,NA
"543","KS","Harper",11,12,1,7,NA,NA
